äXòHî‘çÜ,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1,-1.185827,2.791483,4.353175,-1.968729,-1.25257,-0.279176,2.140801,-0.895378
2,-1.008586,1.022678,-0.71715,-0.974278,-0.036096,0.555342,-0.793001,-0.309922
5,-1.419715,1.068385,0.466694,-1.474904,0.550327,-0.081249,-1.102687,0.034875
6,-2.265192,2.109147,2.692151,-1.352617,3.017028,-1.893784,-1.354571,1.181272
8,-2.772576,1.102695,0.412807,-0.016686,-2.077613,0.345563,0.970917,0.312836
9,-0.60019,1.5782,-1.627204,-0.032195,-0.376903,0.692513,-0.816379,0.01108
11,-1.615669,0.279583,-0.930704,0.046878,-0.664287,0.814858,-0.75647,-0.033746
13,-1.775004,1.087105,-0.471913,-0.078442,-1.613579,0.536367,0.865809,-0.23585
14,-0.836157,-0.148977,-0.855826,-0.956308,0.234727,0.988895,-0.962789,-1.037811
16,2.346723,-2.379014,-0.183158,-2.728579,1.063062,0.082646,0.299559,-0.643499
18,2.164075,-1.283296,-0.933394,-1.088047,-0.246868,-1.105131,0.97714,1.117949
19,1.579642,-1.091758,0.269362,-0.324935,-0.374996,0.121362,0.38687,0.152824
21,1.581408,-1.790176,1.370814,-0.709963,-1.025246,-0.26677,-0.427115,2.325026
23,2.83654,-1.834393,1.199773,-1.609916,0.513515,1.256514,0.01701,-0.422201
24,-2.450342,-1.440809,-0.514152,-0.271305,-0.794045,0.582516,-0.723834,0.146837
26,2.871864,1.131335,-1.634102,-1.291914,0.397903,-0.242623,0.526076,0.282959
28,-1.815433,-0.962215,-0.492121,-0.233235,0.629198,0.002694,-0.666433,-0.03455
29,1.106513,0.373688,-1.501106,-0.129282,0.346716,-0.759798,0.119335,-0.945892
31,-1.091806,-0.78187,0.286067,3.059728,2.166857,-1.818476,0.487577,-1.322983
33,0.100788,-0.627325,-0.923949,1.58313,-0.43603,-1.434002,0.812532,-0.146722
34,-2.17233,-0.997235,-0.650387,0.520384,-1.163965,0.022824,-0.488651,0.355957
35,-3.118417,-0.985196,-0.137021,1.426527,0.089778,-0.023905,-0.387524,0.235904
36,-0.824512,0.370694,-0.332184,2.033437,3.187929,2.962042,2.162353,1.355194
37,-1.166872,-1.559953,-0.009221,1.669289,-0.689236,-0.569936,0.478714,-0.308615
38,3.061978,4.618441,-3.347352,0.374068,0.020648,-0.90661,0.169676,0.287395
39,0.313315,-2.18208,-0.513181,0.248542,-0.825357,-1.615685,0.509957,0.351647
40,3.993547,1.448183,1.964637,2.916107,-1.287054,0.964185,-1.611045,0.245074
41,0.761822,-0.913691,-0.16259,-1.213407,0.774503,0.820455,-0.189637,-1.385831
43,3.400414,-0.003627,2.921236,2.57665,-0.128348,0.248369,-0.64419,-0.673832
