äXòHî‘çÜ,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1,-2.156335,-2.347952,-3.243101,1.628229,3.512334,-1.987588,1.063986,3.11626
2,-1.958062,-2.560956,-2.41923,0.706455,0.725006,0.332805,0.624666,1.650973
5,5.986599,-1.963128,-2.385932,2.898776,0.427123,0.187802,0.853052,0.928758
6,3.273505,-3.846246,-0.623838,5.097539,3.403301,-2.1291,0.956466,-3.048185
8,-4.497102,-2.246087,-1.209756,0.003813,-0.613039,0.122096,-2.133464,-0.984528
9,-4.030968,-3.243552,-0.350007,-1.250887,-0.290411,2.405171,-0.933778,-0.693587
11,-1.15686,-2.484104,-2.818886,-0.029989,-1.258361,1.891201,-1.015869,0.392052
13,-3.040983,-2.314857,-1.462215,0.349089,-0.101471,1.760135,-0.389926,0.537763
14,-0.873893,-3.16152,4.197912,2.046404,1.205545,2.594662,0.11415,0.663364
16,-0.485968,-0.013502,0.844357,-2.003463,-1.439305,-0.286209,3.714971,0.352089
18,4.029749,-2.380399,8.916805,-0.353122,0.484492,0.195234,-1.219983,1.011926
19,-0.558163,-1.881694,1.150317,-1.390681,-1.266018,-0.317698,2.624042,-1.550605
21,5.93956,-2.802006,0.31769,-3.17264,-0.882376,-2.680229,-2.542795,2.556892
23,0.881298,-1.450984,1.009171,-2.066005,-0.830289,-1.899356,3.927326,-2.164752
24,-3.8414,-1.89307,0.46189,0.030047,-2.568994,-0.343621,-0.97607,0.150153
26,12.11615,-0.681486,-3.44515,-4.704264,-0.863715,1.041578,-1.615235,-1.700242
28,-0.77825,1.55042,0.74188,1.330592,-1.218101,-0.72686,0.237539,-1.438465
29,0.302241,3.650879,-0.090627,-0.208828,1.195103,0.22602,-0.589939,2.350612
31,3.838472,5.508207,-0.588342,4.143887,-0.579354,-0.447673,-1.45206,-1.234477
33,-0.29884,2.82186,0.613247,0.670992,-0.987004,0.521896,0.39358,-1.639165
34,-2.203522,1.917638,-0.500192,1.473195,-4.140091,0.221845,-0.057189,-0.15581
35,-5.187105,0.270373,-0.722015,0.518547,-1.200471,-0.659425,-3.027366,-1.998094
37,0.001707,3.099435,2.540845,1.753857,0.731332,0.358027,-1.456463,0.808376
38,-0.066834,3.406353,-0.764267,-2.215358,2.228333,5.631006,2.10241,0.521883
39,-2.281958,2.766796,-0.283329,-0.552234,-3.40993,-3.054315,1.516743,2.877019
40,-4.286722,2.420348,0.336744,-4.444517,3.597666,-1.875072,-0.790317,-1.662559
41,4.232375,4.344423,-0.300603,2.272877,-0.15101,0.750621,0.835475,0.721629
43,-2.898693,3.514813,0.076632,-2.532309,4.289704,-1.832952,-0.763951,-0.369279
