街路番号,調査時間,通行者20人到達時間,3分あたり滞在者,点字ブロックや音の鳴る信号がある,車両進入防止設備がある,車両進入口が歩行空間を分離しないよう配慮されている,歩行者専用道路になっている,車道と歩道が分かれている,自動車レーンと歩道が分かれている,車両の速度を抑制する対策が講じられている,レンタサイクルなどシェアモビリティのポートがある,アート・展示空間がある,電灯／樹木に装飾が設けられている,管理の行き届いた植栽（植木・花壇等）がある,アスファルト以外の化粧材が整備されている,無電柱化されている,親水空間がある,ぼーっとできる場所だと感じる,ぼーっとしている人がいる,座って休憩したり、くつろいだりしたい場所だと感じる,座って休憩したり、くつろいだりしている人がいる,横になってくつろぎたい場所だと感じる,横になって過ごしている人がいる,ゆったり読書をしたい場所だと感じる,読書をしたり、スマホ・タブレットを操作する人がいる,緑などに囲まれて自然を感じられる場所だと感じる,花壇や緑などを眺める人がいる,水辺を眺め、たたずんでいられる場所だと感じる,水辺を眺め、たたずんでいる人がいる,陽だまり、または日陰で過ごしたい場所だと感じる,日光を楽しむ、日陰で過ごす人がいる,眺めたいまちなみや景色があると感じる,まちなみや景色を眺める人がいる,ぶらぶらと歩きたい場所だと感じる,散歩をしている人がいる,長居したい場所だと感じる,長時間滞在している人がいる（30分程度）,ゆったりお茶をしたい場所だと感じる,お茶をしている人がいる,体を軽く動かしてリラックスできる場所だと感じる,ヨガや体操・ストレッチをしている人がいる,友人や恋人と来て過ごしたい場所だと感じる,笑いながら話をしている人がいる,複数人で飲食をしたい場所だと感じる（ピクニックを含む）,複数人で飲食をしている（ピクニックを含む）,人との新しい出会いがありそうな場所だと感じる,会話・交流している人がいる,人が群がりそうな雰囲気の良いものがある場所だと感じる,何かに人が群がっている,近くでウィンドウショッピングを楽しみたい場所だと感じる,近くでウィンドウショッピングや買い物をしている人がいる,パフォーマンスができる場所だと感じる,パフォーマンスをしている人がいる,魅力的なコンテンツがあり、子供や大人が遊べると感じる,子どもや大人が夢中になって遊んでいる,写真や動画に映える・誰かにシェアしたい場所だと感じる,写真や動画を撮っている人がいる,雰囲気に合った音楽が流れていると感じる,音楽にのっている人がいる,1人,家族,グループ,団体,男性,女性,性別不明,乳幼児,小学生,中高生,大人,高齢者,年齢不明,スタスタ歩いている,のんびり歩いている,日本人,外国人,国籍不明,分類計,性別計,年齢計,行動計,国籍計
1,15:25:00,0:02:30,1,1,2,3,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,13,3,4,0,14,11,0,1,0,2,23,0,0,21,4,18,7,0,20,25,26,25,25
2,15:10:00,0:01:30,0,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,17,1,2,0,13,13,0,0,0,0,26,0,0,26,0,26,0,0,20,26,26,26,26
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
5,11:50:00,0:02:30,1,1,2,2,2,1,2,1,2,1,1,1,1,1,2,4,2,3,2,1,1,1,2,4,3,1,1,4,3,3,3,4,1,2,1,3,1,1,1,3,3,3,3,2,3,4,2,4,3,1,1,2,1,2,1,1,1,17,1,2,0,12,13,0,1,0,0,24,0,0,24,1,24,1,0,20,25,25,25,25
6,15:00:00,0:01:50,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,4,2,4,2,1,1,2,1,1,1,1,1,3,2,4,2,1,1,2,2,1,1,1,1,3,3,3,1,1,3,3,1,3,2,1,1,3,1,3,2,1,1,16,2,2,0,13,11,2,2,0,0,24,0,0,23,3,23,3,0,20,26,26,26,26
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
8,14:40:00,0:07:30,0,2,2,2,2,1,2,2,2,2,2,1,2,1,2,3,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,1,1,0,18,3,0,0,0,1,20,0,0,21,0,21,0,0,20,21,21,21,21
9,14:45:00,0:02:30,0,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,17,0,3,0,18,10,0,0,0,0,28,0,0,28,0,27,1,0,20,28,28,28,28
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
11,14:35:00,0:02:00,0,1,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,4,1,1,1,3,2,3,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,18,0,2,0,15,8,0,0,0,0,23,0,0,23,0,22,1,0,20,23,23,23,23
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
13,15:40:00,0:02:30,0,2,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,17,0,3,0,17,6,0,0,0,1,22,0,0,23,0,23,0,0,20,23,23,23,23
14,15:50:00,0:02:30,5,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,3,3,2,1,1,1,1,3,2,2,3,1,1,17,0,3,0,9,15,0,0,0,0,24,0,0,24,0,23,1,0,20,24,24,24,24
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
